,Year,State,Fips,CountyName,Region,EstimatedValue
102,2010,Georgia,13209,Montgomery,Southeast,129005.15
103,2010,Georgia,13211,Morgan,Central,153624.01
104,2010,Georgia,13213,Murray,North,130347.12
105,2010,Georgia,13215,Muscogee,Central,65847.93
106,2010,Georgia,13217,Newton,North Central,72792.32
107,2010,Georgia,13219,Oconee,North Central,66831.19
108,2010,Georgia,13221,Oglethorpe,North Central,225797.46
109,2010,Georgia,13223,Paulding,North Central,112774.28
110,2010,Georgia,13225,Peach,Central,35994.34
111,2010,Georgia,13227,Pickens,North,109822.27
112,2010,Georgia,13229,Pierce,Southeast,110432.95
113,2010,Georgia,13231,Pike,Central,94916.45
114,2010,Georgia,13233,Polk,North Central,126609.92
115,2010,Georgia,13235,Pulaski,Central,79197.95
116,2010,Georgia,13237,Putnam,Central,142519.18
117,2010,Georgia,13239,Quitman,Central,83592.54
118,2010,Georgia,13241,Rabun,North,222374.75
119,2010,Georgia,13243,Randolph,Central,172119.99
120,2010,Georgia,13245,Richmond,Central,119116.96
121,2010,Georgia,13247,Rockdale,North Central,21126.62
122,2010,Georgia,13249,Schley,Central,112657.07
123,2010,Georgia,13251,Screven,Southeast,297097.91
124,2010,Georgia,13253,Seminole,Southwest,40536.16
125,2010,Georgia,13255,Spalding,North Central,74597.66
126,2010,Georgia,13257,Stephens,North,89909.47
127,2010,Georgia,13259,Stewart,Central,235878.43
128,2010,Georgia,13261,Sumter,Central,177953.48
129,2010,Georgia,13263,Talbot,Central,209877.2
130,2010,Georgia,13265,Taliaferro,Central,116806.48
131,2010,Georgia,13267,Tattnall,Southeast,181117.14
132,2010,Georgia,13269,Taylor,Central,224681.73
133,2010,Georgia,13271,Telfair,Southeast,245932.25
134,2010,Georgia,13273,Terrell,Central,144140.25
135,2010,Georgia,13275,Thomas,Southwest,196532.37
136,2010,Georgia,13277,Tift,Southwest,73309.01
137,2010,Georgia,13279,Toombs,Southeast,152946.48
138,2010,Georgia,13281,Towns,North,69235.34
139,2010,Georgia,13283,Treutlen,Southeast,107578.34
140,2010,Georgia,13285,Troup,North Central,186074.23
141,2010,Georgia,13287,Turner,Southwest,64295.39
142,2010,Georgia,13289,Twiggs,Central,201003.11
143,2010,Georgia,13291,Union,North,153370.94
144,2010,Georgia,13293,Upson,Central,143384.51
145,2010,Georgia,13295,Walker,North,153329.39
146,2010,Georgia,13297,Walton,North Central,124369.36
147,2010,Georgia,13299,Ware,Southeast,458530.14
148,2010,Georgia,13301,Warren,Central,160848.65
149,2010,Georgia,13303,Washington,Central,295709.7
150,2010,Georgia,13305,Wayne,Southeast,344133.91
151,2010,Georgia,13307,Webster,Central,65802.82
152,2010,Georgia,13309,Wheeler,Southeast,139900.53
153,2010,Georgia,13311,White,North,120695.3
154,2010,Georgia,13313,Whitfield,North,88633.12
155,2010,Georgia,13315,Wilcox,Southwest,169876.39
156,2010,Georgia,13317,Wilkes,Central,204646.77
157,2010,Georgia,13319,Wilkinson,Central,258948.89
158,2010,Georgia,13321,Worth,Southwest,169404.75
0,2011,Georgia,13001,Appling,Southeast,234467.26
1,2011,Georgia,13003,Atkinson,Southeast,164633.53
2,2011,Georgia,13005,Bacon,Southeast,128332.02
3,2011,Georgia,13007,Baker,Southwest,113129.47
4,2011,Georgia,13009,Baldwin,Central,120521.05
5,2011,Georgia,13011,Banks,North Central,82322.59
6,2011,Georgia,13013,Barrow,North Central,46415.19
7,2011,Georgia,13015,Bartow,North,173095.74
8,2011,Georgia,13017,Ben Hill,Southwest,94906.74
9,2011,Georgia,13019,Berrien,Southwest,177371.43
10,2011,Georgia,13021,Bibb,Central,63531.32
11,2011,Georgia,13023,Bleckley,Central,76957.93
12,2011,Georgia,13025,Brantley,Southeast,234385.69
13,2011,Georgia,13027,Brooks,Southwest,170283.6
14,2011,Georgia,13029,Bryan,Southeast,203448.82
15,2011,Georgia,13031,Bulloch,Southeast,285597.38
16,2011,Georgia,13033,Burke,Central,329295.33
17,2011,Georgia,13035,Butts,Central,77878.34
18,2011,Georgia,13037,Calhoun,Central,73826.57
19,2011,Georgia,13039,Camden,Southeast,273530.23
20,2011,Georgia,13043,Candler,Southeast,78739.44
21,2011,Georgia,13045,Carroll,North Central,177443.2
22,2011,Georgia,13047,Catoosa,North,38133.38
23,2011,Georgia,13049,Charlton,Southeast,398105.89
24,2011,Georgia,13051,Chatham,Southeast,84074.87
25,2011,Georgia,13053,Chattahoochee,Central,136378.4
26,2011,Georgia,13055,Chattooga,North,187082.64
27,2011,Georgia,13057,Cherokee,North,151083.63
28,2011,Georgia,13059,Clarke,North Central,23944.07
29,2011,Georgia,13061,Clay,Central,84840.6
30,2011,Georgia,13063,Clayton,North Central,14119.53
31,2011,Georgia,13065,Clinch,Southeast,559347.87
32,2011,Georgia,13067,Cobb,North Central,15573.79
33,2011,Georgia,13069,Coffee,Southeast,213663.49
34,2011,Georgia,13071,Colquitt,Southwest,148212.45
35,2011,Georgia,13073,Columbia,Central,101297.6
36,2011,Georgia,13075,Cook,Southwest,74035.56
37,2011,Georgia,13077,Coweta,North Central,163649.66
38,2011,Georgia,13079,Crawford,Central,173198.01
39,2011,Georgia,13081,Crisp,Southwest,80446.46
40,2011,Georgia,13083,Dade,North,66981.64
41,2011,Georgia,13085,Dawson,North,98683.28
42,2011,Georgia,13087,Decatur,Southwest,166325.17
43,2011,Georgia,13089,DeKalb,North Central,45123.86
44,2011,Georgia,13091,Dodge,Southeast,223388.18
45,2011,Georgia,13093,Dooly,Southwest,87308.38
46,2011,Georgia,13095,Dougherty,Central,139591.27
47,2011,Georgia,13097,Douglas,North Central,66068.69
48,2011,Georgia,13099,Early,Southwest,166611.8
49,2011,Georgia,13101,Echols,Southeast,236717.81
50,2011,Georgia,13103,Effingham,Southeast,228849.16
51,2011,Georgia,13105,Elbert,North Central,130913.8
52,2011,Georgia,13107,Emanuel,Southeast,326372.99
53,2011,Georgia,13109,Evans,Southeast,74718.52
54,2011,Georgia,13111,Fannin,North,207009.51
55,2011,Georgia,13113,Fayette,North Central,32943.86
56,2011,Georgia,13115,Floyd,North,187281.37
57,2011,Georgia,13117,Forsyth,North Central,53835.74
58,2011,Georgia,13119,Franklin,North Central,79867.97
59,2011,Georgia,13121,Fulton,North Central,119894.25
60,2011,Georgia,13123,Gilmer,North,248979.94
61,2011,Georgia,13125,Glascock,Central,70742.53
62,2011,Georgia,13127,Glynn,Southeast,138732.3
63,2011,Georgia,13129,Gordon,North,108593.49
64,2011,Georgia,13131,Grady,Southwest,137871.26
65,2011,Georgia,13133,Greene,Central,204835.77
66,2011,Georgia,13135,Gwinnett,North Central,83742.25
67,2011,Georgia,13137,Habersham,North,104674.15
68,2011,Georgia,13139,Hall,North Central,103220.33
69,2011,Georgia,13141,Hancock,Central,257811.97
70,2011,Georgia,13143,Haralson,North Central,108069.31
71,2011,Georgia,13145,Harris,Central,214865.86
72,2011,Georgia,13147,Hart,North Central,55320.4
73,2011,Georgia,13149,Heard,North Central,126146.93
74,2011,Georgia,13151,Henry,North Central,78846.9
75,2011,Georgia,13153,Houston,Central,127428.33
76,2011,Georgia,13155,Irwin,Southwest,98887.61
77,2011,Georgia,13157,Jackson,North Central,105594.17
78,2011,Georgia,13159,Jasper,Central,200914.65
79,2011,Georgia,13161,Jeff Davis,Southeast,152112.63
