,State,Fips,CountyName,Region,LandUse,EstimatedValue
135,Georgia,13245,Richmond,Central,`0001 Timberland,123042.78984224862
136,Georgia,13247,Rockdale,North Central,`0001 Timberland,16868.217899921983
137,Georgia,13249,Schley,Central,`0001 Timberland,113303.22116043193
138,Georgia,13251,Screven,Southeast,`0001 Timberland,320766.4847769286
139,Georgia,13253,Seminole,Southwest,`0001 Timberland,43840.39789606098
140,Georgia,13255,Spalding,North Central,`0001 Timberland,83171.42666031317
141,Georgia,13257,Stephens,North,`0001 Timberland,89249.95956566026
142,Georgia,13259,Stewart,Central,`0001 Timberland,232740.2873471911
143,Georgia,13261,Sumter,Central,`0001 Timberland,190563.70280138715
144,Georgia,13263,Talbot,Central,`0001 Timberland,209182.17871651825
145,Georgia,13265,Taliaferro,Central,`0001 Timberland,122403.57553374876
146,Georgia,13267,Tattnall,Southeast,`0001 Timberland,185284.66206525808
147,Georgia,13269,Taylor,Central,`0001 Timberland,230927.20828500894
148,Georgia,13269,Taylor,Central,`0003 Other forestland,5842.60554551379
149,Georgia,13271,Telfair,Southeast,`0001 Timberland,237595.73850504396
150,Georgia,13273,Terrell,Central,`0001 Timberland,156630.04973450108
151,Georgia,13275,Thomas,Southwest,`0001 Timberland,199073.0669281867
152,Georgia,13277,Tift,Southwest,`0001 Timberland,78263.31338707599
153,Georgia,13279,Toombs,Southeast,`0001 Timberland,154161.73235922106
154,Georgia,13281,Towns,North,`0001 Timberland,62553.9811468069
155,Georgia,13281,Towns,North,`0002 Reserved Forestland,21103.34231509343
156,Georgia,13283,Treutlen,Southeast,`0001 Timberland,105271.98098649566
157,Georgia,13285,Troup,North Central,`0001 Timberland,200286.3476012832
158,Georgia,13287,Turner,Southwest,`0001 Timberland,73091.75444026799
159,Georgia,13289,Twiggs,Central,`0001 Timberland,191287.95094363648
160,Georgia,13289,Twiggs,Central,`0002 Reserved Forestland,4387.868309148176
161,Georgia,13291,Union,North,`0001 Timberland,119270.4440266001
162,Georgia,13291,Union,North,`0002 Reserved Forestland,31029.446255763418
163,Georgia,13293,Upson,Central,`0001 Timberland,148168.32619409822
164,Georgia,13295,Walker,North,`0001 Timberland,162073.6063260318
165,Georgia,13297,Walton,North Central,`0001 Timberland,124845.28644580301
166,Georgia,13299,Ware,Southeast,`0001 Timberland,343297.54350448266
167,Georgia,13299,Ware,Southeast,`0002 Reserved Forestland,156728.7990244599
168,Georgia,13301,Warren,Central,`0001 Timberland,164740.40753716184
169,Georgia,13303,Washington,Central,`0001 Timberland,308546.4821110833
170,Georgia,13305,Wayne,Southeast,`0001 Timberland,350374.1874963224
171,Georgia,13307,Webster,Central,`0001 Timberland,85136.71712422546
172,Georgia,13309,Wheeler,Southeast,`0001 Timberland,147648.08605969732
173,Georgia,13311,White,North,`0001 Timberland,115363.04197542733
174,Georgia,13311,White,North,`0002 Reserved Forestland,19240.46925268953
175,Georgia,13313,Whitfield,North,`0001 Timberland,89086.39007262213
176,Georgia,13315,Wilcox,Southwest,`0001 Timberland,183224.7144832901
177,Georgia,13317,Wilkes,Central,`0001 Timberland,238012.14886621837
178,Georgia,13319,Wilkinson,Central,`0001 Timberland,265445.0346878465
179,Georgia,13321,Worth,Southwest,`0001 Timberland,163673.71608159438
